row,cols,memory(bytes),time(sec)
30000,200, 147975716,4.999569
30000,400, 295841316,28.209113
30000,600, 446266916,66.281150
30000,800, 599252516,119.854923
30000,1000, 754798116,191.797078
35000,200, 172415716,6.202836
35000,400, 344281316,34.013722
35000,600, 518706916,77.928967
35000,800, 695692516,139.510049
35000,1000, 875238116,222.411998
40000,200, 196855716,6.811341
40000,400, 392721316,39.125147
40000,600, 591146916,89.601905
40000,800, 792132516,160.811563
40000,1000, 995678116,254.029549
45000,200, 221295716,7.835096
45000,400, 441161316,43.225530
45000,600, 663586916,99.478285
45000,800, 888572516,184.926185
45000,1000, 1116118116,289.929631
50000,200, 245735716,8.924750
50000,400, 489601316,49.568782
50000,600, 736026916,113.344841
50000,800, 985012516,202.368978
50000,1000, 1236558116,318.126464
55000,200, 270175716,9.640074
55000,400, 538041316,54.314276
55000,600, 808466916,125.194795
55000,800, 1081452516,228.486985
55000,1000, 1356998116,355.693528
60000,200, 294615716,10.384432
60000,400, 586481316,59.569137
60000,600, 880906916,136.538572
60000,800, 1177892516,245.027360
60000,1000, 1477438116,392.949061
65000,200, 319055716,11.518212
65000,400, 634921316,64.575029
65000,600, 953346916,153.390958
65000,800, 1274332516,277.285906
65000,1000, 1597878116,427.652866
70000,200, 343495716,12.998030
70000,400, 683361316,74.575475
70000,600, 1025786916,169.855606
70000,800, 1370772516,328.153314
70000,1000, 1718318116,499.139651
75000,200, 367935716,13.144653
75000,400, 731801316,81.642202
75000,600, 1098226916,186.136040
75000,800, 1467212516,341.589913
75000,1000, 1838758116,538.070249
80000,200, 392375716,15.042580
80000,400, 780241316,90.471048
80000,600, 1170666916,211.601165
80000,800, 1563652516,402.808401
80000,1000, 1959198116,681.681281
85000,200, 416815716,17.454749
85000,400, 828681316,122.852846
85000,600, 1243106916,296.023508
85000,800, 1660092516,583.754674
85000,1000, 2079638116,820.354366
90000,200, 441255716,17.521816
90000,400, 877121316,139.138001
90000,600, 1315546916,291.033546
